Company,Position,Salary
Beam Therapeutics Inc.,"Director
5 Salaries submitted",366
Beam Therapeutics Inc.,"Executive Assistant
4 Salaries submitted",115
Beam Therapeutics Inc.,"Research Scientist
4 Salaries submitted",185
Beam Therapeutics Inc.,"Senior Scientist II
4 Salaries submitted",186
Beam Therapeutics Inc.,"Research Associate I
4 Salaries submitted",77
Beam Therapeutics Inc.,"Senior Associate
2 Salaries submitted",178
Beam Therapeutics Inc.,"Intern
2 Salaries submitted",87
Beam Therapeutics Inc.,"Senior Manager
2 Salaries submitted",283
Beam Therapeutics Inc.,"Contract Research Associate
2 Salaries submitted",123
Biohaven Ltd.,"Neuroscience Sales Specialist
12 Salaries submitted",206
Biohaven Ltd.,"Sales Representative
10 Salaries submitted",187
Biohaven Ltd.,"Intern
7 Salaries submitted",76
Biohaven Ltd.,"Sales
5 Salaries submitted",176
Biohaven Ltd.,"Associate Neuroscience Sales Specialist
3 Salaries submitted",198
Biohaven Ltd.,"Summer Intern
2 Salaries submitted",74
Biohaven Ltd.,"Pharmaceutical Sales Representative
2 Salaries submitted",218
Biohaven Ltd.,"Associate Neuroscience Sales Representative
2 Salaries submitted",199
Biohaven Ltd.,"Sales Specialist
2 Salaries submitted",175
Biohaven Ltd.,"Clinical Operations Intern
1 Salaries submitted",75
Biohaven Ltd.,"Medical Information Manager
1 Salaries submitted",188
Biohaven Ltd.,"Manager, Medical Information
1 Salaries submitted",242
Biohaven Ltd.,"District Sales Manager
1 Salaries submitted",229
Biohaven Ltd.,"Health Economics and Outcomes Research HEOR
1 Salaries submitted",139
Biohaven Ltd.,"Research Scientist
1 Salaries submitted",139
Biohaven Ltd.,"Account Manager
1 Salaries submitted",166
Biohaven Ltd.,"Senior Sales Representative
1 Salaries submitted",206
Biohaven Ltd.,"Director, Medical Science Liaison
1 Salaries submitted",285
Biohaven Ltd.,"Sales Operations Manager
1 Salaries submitted",187
Biohaven Ltd.,"Inside-Sales Specialist
1 Salaries submitted",124
Biogen Inc.,"Senior Scientist
8 Salaries submitted",183
Biogen Inc.,"Associate Director
8 Salaries submitted",268
Biogen Inc.,"Scientist
4 Salaries submitted",170
Biogen Inc.,"Co-Op
3 Salaries submitted",103
Biogen Inc.,"Senior Manager
3 Salaries submitted",251
Biogen Inc.,"Engineer
3 Salaries submitted",144
Biogen Inc.,"Manager
3 Salaries submitted",229
Biogen Inc.,"Senior Territory Business Manager
3 Salaries submitted",276
Biogen Inc.,"Manufacturing Associate
2 Salaries submitted",72
Biogen Inc.,"Key Account Manager (KAM)
2 Salaries submitted",270
Biogen Inc.,"Scientist I
2 Salaries submitted",135
Biogen Inc.,"Intern - Hourly
2 Salaries submitted",103
Biogen Inc.,"Sales
2 Salaries submitted",305
Biogen Inc.,"QC Associate
2 Salaries submitted",94
Biogen Inc.,"Patient Services Coordinator
2 Salaries submitted",70
Biogen Inc.,"Executive Assistant
2 Salaries submitted",123
Biogen Inc.,"Principal Scientist
2 Salaries submitted",226
Biogen Inc.,"Director
2 Salaries submitted",320
Biogen Inc.,"Data Scientist
2 Salaries submitted",181
Biogen Inc.,"Senior Associate Scientist
2 Salaries submitted",141
"Biocept, Inc.","Research Associate
6 Salaries submitted",93
"Biocept, Inc.","Lab Assistant
4 Salaries submitted",61
"Biocept, Inc.","CLS II
2 Salaries submitted",113
"Biocept, Inc.","Scientist
2 Salaries submitted",163
"Biocept, Inc.","CLS I
2 Salaries submitted",129
"Biocept, Inc.","Billing Specialist
1 Salaries submitted",57
"Biocept, Inc.","Bioinformatics Scientist
1 Salaries submitted",161
"Biocept, Inc.","Clinical Lab Assistant
1 Salaries submitted",53
"Biocept, Inc.","Sales
1 Salaries submitted",203
"Biocept, Inc.","Laboratory Assistant
1 Salaries submitted",59
"Biocept, Inc.","Client Service Representative
1 Salaries submitted",55
"Biocept, Inc.","Manufacturing Associate
1 Salaries submitted",60
"Biocept, Inc.","Customer Experience Specialist
1 Salaries submitted",61
"Biocept, Inc.","Manufacturing Specialist
1 Salaries submitted",71
"Biocept, Inc.","Clinical Laboratory Scientist
1 Salaries submitted",88
"Biocept, Inc.","Marketing Specialist
1 Salaries submitted",84
"Biocept, Inc.","Billing
1 Salaries submitted",67
"Biocept, Inc.","Sample Accessioner
1 Salaries submitted",61
"Biocept, Inc.","Principal Scientist
1 Salaries submitted",241
"Biocept, Inc.","Lead Process Technician
1 Salaries submitted",78
BioVie Inc.,"Director of Social Impact
1 Salaries submitted",186
BELLICUM PHARMACEUTICALS,"Project Manager
1 Salaries submitted",131
BELLICUM PHARMACEUTICALS,"Executive Director, Project Management
1 Salaries submitted",212
BELLICUM PHARMACEUTICALS,"QC Analyst II
1 Salaries submitted",85
BELLICUM PHARMACEUTICALS,"QA Specialist
1 Salaries submitted",84
BELLICUM PHARMACEUTICALS,"Clinical Trial Assistant (CTA)
1 Salaries submitted",71
BELLICUM PHARMACEUTICALS,"Computer Systems Analyst
1 Salaries submitted",109
BELLICUM PHARMACEUTICALS,"Manufacturing Technician
1 Salaries submitted",54
BELLICUM PHARMACEUTICALS,"Executive
1 Salaries submitted",248
BELLICUM PHARMACEUTICALS,"Supply Chain Manager
1 Salaries submitted",150
BELLICUM PHARMACEUTICALS,"Scientist
1 Salaries submitted",128
BELLICUM PHARMACEUTICALS,"Clinical Operations Manager
1 Salaries submitted",169
BELLICUM PHARMACEUTICALS,"Associate
1 Salaries submitted",113
BELLICUM PHARMACEUTICALS,"Operations
1 Salaries submitted",105
BELLICUM PHARMACEUTICALS,"Data Manager
1 Salaries submitted",117
BELLICUM PHARMACEUTICALS,"Clinical Manager
1 Salaries submitted",213
"bluebird bio, Inc.","Associate Scientist II
50 Salaries submitted",96
"bluebird bio, Inc.","Associate Scientist
43 Salaries submitted",95
"bluebird bio, Inc.","Scientist
40 Salaries submitted",149
"bluebird bio, Inc.","Associate Director
26 Salaries submitted",275
"bluebird bio, Inc.","Director
25 Salaries submitted",356
"bluebird bio, Inc.","Senior Associate Scientist I
24 Salaries submitted",114
"bluebird bio, Inc.","Senior Associate Scientist II
19 Salaries submitted",130
"bluebird bio, Inc.","Manager
17 Salaries submitted",197
"bluebird bio, Inc.","Associate Scientist I
15 Salaries submitted",83
"bluebird bio, Inc.","Senior Manager
15 Salaries submitted",255
"bluebird bio, Inc.","Senior Associate Scientist
15 Salaries submitted",140
"bluebird bio, Inc.","Scientist II
13 Salaries submitted",134
"bluebird bio, Inc.","Senior Scientist
10 Salaries submitted",190
"bluebird bio, Inc.","Scientist I
8 Salaries submitted",115
"bluebird bio, Inc.","Intern
8 Salaries submitted",93
"bluebird bio, Inc.","Vice President
7 Salaries submitted",595
"bluebird bio, Inc.","Executive Assistant
7 Salaries submitted",115
"bluebird bio, Inc.","Associate Manager
7 Salaries submitted",162
"bluebird bio, Inc.","Senior Associate
6 Salaries submitted",147
"bluebird bio, Inc.","Manufacturing Associate II
6 Salaries submitted",74
BioMarin Pharmaceutical Inc.,"Manufacturing Associate
71 Salaries submitted",82
BioMarin Pharmaceutical Inc.,"Research Associate II
39 Salaries submitted",114
BioMarin Pharmaceutical Inc.,"Associate Director
38 Salaries submitted",303
BioMarin Pharmaceutical Inc.,"Research Associate
33 Salaries submitted",118
BioMarin Pharmaceutical Inc.,"Intern
33 Salaries submitted",139
BioMarin Pharmaceutical Inc.,"Director
26 Salaries submitted",405
BioMarin Pharmaceutical Inc.,"QC Analyst
26 Salaries submitted",114
BioMarin Pharmaceutical Inc.,"Senior Manager
25 Salaries submitted",291
BioMarin Pharmaceutical Inc.,"Manager
24 Salaries submitted",241
BioMarin Pharmaceutical Inc.,"Research Associate I
15 Salaries submitted",95
BioMarin Pharmaceutical Inc.,"Scientist I
14 Salaries submitted",158
BioMarin Pharmaceutical Inc.,"Senior Research Associate
14 Salaries submitted",142
BioMarin Pharmaceutical Inc.,"Intern - Hourly
14 Salaries submitted",126
BioMarin Pharmaceutical Inc.,"Scientist
12 Salaries submitted",195
BioMarin Pharmaceutical Inc.,"Research Assistant
11 Salaries submitted",87
BioMarin Pharmaceutical Inc.,"Area Lead
10 Salaries submitted",170
BioMarin Pharmaceutical Inc.,"Manufacturing Supervisor
10 Salaries submitted",173
BioMarin Pharmaceutical Inc.,"Scientist II
9 Salaries submitted",184
BioMarin Pharmaceutical Inc.,"Project Manager
8 Salaries submitted",211
BioMarin Pharmaceutical Inc.,"Manufacturing Technician
8 Salaries submitted",77
Burning Rock Biotech Limited,"Software Engineer
3 Salaries submitted",139
Burning Rock Biotech Limited,"Associate Scientist II
1 Salaries submitted",91
Burning Rock Biotech Limited,"Associate Scientist
1 Salaries submitted",89
Burning Rock Biotech Limited,"Data Analyst
1 Salaries submitted",83
Burning Rock Biotech Limited,"Bioinformatics Analyst Intern
1 Salaries submitted",92
Burning Rock Biotech Limited,"Director of Research and Development
1 Salaries submitted",143
Burning Rock Biotech Limited,"Scientist
1 Salaries submitted",125
Burning Rock Biotech Limited,"Senior BD Manager
1 Salaries submitted",189
Burning Rock Biotech Limited,"Company Too Small
1 Salaries submitted",137
Benitec Biopharma Inc.,"Scientist
2 Salaries submitted",137
Benitec Biopharma Inc.,"Research Scientist
1 Salaries submitted",129
BioNTech SE,"Senior Research Associate
11 Salaries submitted",112
BioNTech SE,"Scientist
10 Salaries submitted",128
BioNTech SE,"Director
6 Salaries submitted",338
BioNTech SE,"Research Associate
4 Salaries submitted",94
BioNTech SE,"Senior Scientist II
3 Salaries submitted",150
BioNTech SE,"Senior Scientist
3 Salaries submitted",176
BioNTech SE,"Research Scientist
3 Salaries submitted",145
BioNTech SE,"Associate Scientist
3 Salaries submitted",92
BioNTech SE,"Cell Therapy Specialist I
2 Salaries submitted",111
BioNTech SE,"Cell Therapy Specialist III
2 Salaries submitted",142
BioNTech SE,"Manager
2 Salaries submitted",214
BioNTech SE,"Associated Professor
1 Salaries submitted",180
BioNTech SE,"Quality Control Intern
1 Salaries submitted",62
BioNTech SE,"QC Intern
1 Salaries submitted",64
BioNTech SE,"Scrum Master
1 Salaries submitted",142
BioNTech SE,"Coop Student
1 Salaries submitted",76
BioNTech SE,"Desktop Support Technician
1 Salaries submitted",57
BioNTech SE,"Internship
1 Salaries submitted",112
BioNTech SE,"Associate Data Engineer
1 Salaries submitted",121
BioNTech SE,"IT Specialist
1 Salaries submitted",80
Blueprint Medicines Corporation,"Director
8 Salaries submitted",301
Blueprint Medicines Corporation,"Associate Director
8 Salaries submitted",248
Blueprint Medicines Corporation,"Scientist I Biology
6 Salaries submitted",111
Blueprint Medicines Corporation,"Scientist
5 Salaries submitted",146
Blueprint Medicines Corporation,"Senior Research Associate
4 Salaries submitted",121
Blueprint Medicines Corporation,"Senior Scientist
4 Salaries submitted",189
Blueprint Medicines Corporation,"Lead Bioinformatics Scientist
3 Salaries submitted",184
Blueprint Medicines Corporation,"Scientist II, Analytical Development
3 Salaries submitted",135
Blueprint Medicines Corporation,"Intern
3 Salaries submitted",73
Blueprint Medicines Corporation,"Scientist I
3 Salaries submitted",114
Blueprint Medicines Corporation,"Liaison
2 Salaries submitted",100
Blueprint Medicines Corporation,"Clinical Associate
2 Salaries submitted",109
Blueprint Medicines Corporation,"Senior Scientist I
2 Salaries submitted",145
Blueprint Medicines Corporation,"Senior Manager
2 Salaries submitted",234
Blueprint Medicines Corporation,"Project Manager
2 Salaries submitted",141
Blueprint Medicines Corporation,"Accounting Manager
2 Salaries submitted",139
Blueprint Medicines Corporation,"Vice President
2 Salaries submitted",564
Blueprint Medicines Corporation,"Clinical Study Manager
2 Salaries submitted",154
Blueprint Medicines Corporation,"Medical Director
2 Salaries submitted",470
Blueprint Medicines Corporation,"Principal Scientist
2 Salaries submitted",235
"Bio-Path Holdings, Inc.","Medical Courier
1 Salaries submitted",49
"BioXcel Therapeutics, Inc.","Director
2 Salaries submitted",316
"BioXcel Therapeutics, Inc.","Medical Science Liaison (MSL)
2 Salaries submitted",308
"BioXcel Therapeutics, Inc.","Data Science Analyst
1 Salaries submitted",120
"BioXcel Therapeutics, Inc.","Associate Director, Clinical Operations
1 Salaries submitted",212
"BioXcel Therapeutics, Inc.","AI Engineer
1 Salaries submitted",176
"BioXcel Therapeutics, Inc.","Project Manager
1 Salaries submitted",145
"BioXcel Therapeutics, Inc.","Senior Vice President Product
1 Salaries submitted",518
"BioXcel Therapeutics, Inc.","IT Support Engineer
1 Salaries submitted",99
"BioXcel Therapeutics, Inc.","Manager
1 Salaries submitted",182
"BioXcel Therapeutics, Inc.","Associate Medical Director
1 Salaries submitted",381
"BeyondSpring, Inc.","Accountant
8 Salaries submitted",81
"BeyondSpring, Inc.","Assistant Accountant
3 Salaries submitted",74
"BeyondSpring, Inc.","Chemical Engineer
2 Salaries submitted",102
"BeyondSpring, Inc.","Research Assistant
2 Salaries submitted",63
"BeyondSpring, Inc.","Business Development Specialist
2 Salaries submitted",105
"BeyondSpring, Inc.","Bookkeeper
2 Salaries submitted",54
"BeyondSpring, Inc.","Sr. Director
1 Salaries submitted",432
"BeyondSpring, Inc.","Analyst
1 Salaries submitted",97
"BeyondSpring, Inc.","Database Administrator
1 Salaries submitted",122
"BeyondSpring, Inc.","Financial Controller
1 Salaries submitted",186
"BeyondSpring, Inc.","Financial Analyst
1 Salaries submitted",95
"BeyondSpring, Inc.","Director
1 Salaries submitted",246
"BeyondSpring, Inc.","Clinical Research Coordinator
1 Salaries submitted",81
"BeyondSpring, Inc.","Vice President
1 Salaries submitted",460
"BeyondSpring, Inc.","Mechanical Engineering Consultant
1 Salaries submitted",120
"BeyondSpring, Inc.","Staff Accountant
1 Salaries submitted",78
"BeyondSpring, Inc.","HR Specialist
1 Salaries submitted",72
"BeyondSpring, Inc.","Senior VP Regulatory Affairs
1 Salaries submitted",250
"BeyondSpring, Inc.","Biostatistician
1 Salaries submitted",130
"Cabaletta Bio, Inc.","Scientist
5 Salaries submitted",141
"Cabaletta Bio, Inc.","Associate Scientist
2 Salaries submitted",93
"Cabaletta Bio, Inc.","Senior Scientist
2 Salaries submitted",176
"Cabaletta Bio, Inc.","Head of Molecular Biology
1 Salaries submitted",185
"Cabaletta Bio, Inc.","Associate Director lab operations
1 Salaries submitted",170
"Cabaletta Bio, Inc.","Director R&D Operations
1 Salaries submitted",328
"Cabaletta Bio, Inc.","Research Scientist
1 Salaries submitted",135
"Cabaletta Bio, Inc.","Sr. Director
1 Salaries submitted",329
"Cabaletta Bio, Inc.","Vice President
1 Salaries submitted",477
"Cabaletta Bio, Inc.","Senior Research Associate
1 Salaries submitted",100
CALITHERA BIOSCIENCES INC,"Director
3 Salaries submitted",240
CALITHERA BIOSCIENCES INC,"Clinical Scientist
3 Salaries submitted",130
CALITHERA BIOSCIENCES INC,"Bioinformatics Scientist
1 Salaries submitted",127
CALITHERA BIOSCIENCES INC,"Sr. Scientist
1 Salaries submitted",164
CALITHERA BIOSCIENCES INC,"SRAII
1 Salaries submitted",130
CALITHERA BIOSCIENCES INC,"Clinical Research Associate
1 Salaries submitted",95
"Capricor Therapeutics, Inc.","Manufacturing Associate
4 Salaries submitted",59
"Capricor Therapeutics, Inc.","Research Associate
4 Salaries submitted",87
"Capricor Therapeutics, Inc.","Senior Scientist
3 Salaries submitted",180
"Capricor Therapeutics, Inc.","Scientist
3 Salaries submitted",136
"Capricor Therapeutics, Inc.","Sr. Scientist
2 Salaries submitted",202
"Capricor Therapeutics, Inc.","Senior QC Analyst
1 Salaries submitted",114
"Capricor Therapeutics, Inc.","Quality Control Analyst I
1 Salaries submitted",75
"Capricor Therapeutics, Inc.","Senior Director, Regulatory Affairs
1 Salaries submitted",282
"Capricor Therapeutics, Inc.","Controller
1 Salaries submitted",202
"Capricor Therapeutics, Inc.","Patent Attorney
1 Salaries submitted",207
"Capricor Therapeutics, Inc.","Analytical Development Scientist
1 Salaries submitted",119
"Capricor Therapeutics, Inc.","Research Associate I
1 Salaries submitted",70
"Capricor Therapeutics, Inc.","Materials Manager
1 Salaries submitted",140
"Capricor Therapeutics, Inc.","Senior Technical Writer
1 Salaries submitted",120
"Capricor Therapeutics, Inc.","Manager
1 Salaries submitted",163
"Capricor Therapeutics, Inc.","Manufacturing Manager
1 Salaries submitted",165
"Capricor Therapeutics, Inc.","Quality Control Analyst
1 Salaries submitted",87
"CASI Pharmaceuticals, Inc.","Consulting
1 Salaries submitted",244
"Catalyst Biosciences, Inc.","Staff Scientist
6 Salaries submitted",132
"Catalyst Biosciences, Inc.","Scientist
3 Salaries submitted",127
"Catalyst Biosciences, Inc.","Research Associate II
2 Salaries submitted",84
"Catalyst Biosciences, Inc.","Senior Scientist
2 Salaries submitted",152
"Catalyst Biosciences, Inc.","Senior Research Associate
1 Salaries submitted",105
"Catalyst Biosciences, Inc.","Investor Relations
1 Salaries submitted",282
"Catalyst Biosciences, Inc.","Contractor
1 Salaries submitted",97
"Catalyst Biosciences, Inc.","Protein Scientist
1 Salaries submitted",95
"Catalyst Biosciences, Inc.","Director of Finance and Administration
1 Salaries submitted",296
"Catalyst Biosciences, Inc.","Vice President of Quality and Patient Safety
1 Salaries submitted",263
"Catalyst Biosciences, Inc.","Middle Manager
1 Salaries submitted",153
"Catalyst Biosciences, Inc.","Administrative Assistant
1 Salaries submitted",53
"Catalyst Biosciences, Inc.","Accounting Manager
1 Salaries submitted",150
"Catalyst Biosciences, Inc.","Scientist II
1 Salaries submitted",115
"Catalyst Biosciences, Inc.","Director
1 Salaries submitted",325
"Catalyst Biosciences, Inc.","Director, Protein Purification
1 Salaries submitted",174
"Catalyst Biosciences, Inc.","Staff Scientist II
1 Salaries submitted",121
"Catalyst Biosciences, Inc.","Director of Clinical Operations
1 Salaries submitted",238
"Catalyst Biosciences, Inc.","Finance
1 Salaries submitted",185
"Avid Bioservices, Inc.","Manufacturing Associate
22 Salaries submitted",63
"Avid Bioservices, Inc.","Research Associate
7 Salaries submitted",95
"Avid Bioservices, Inc.","Quality Control Analyst
5 Salaries submitted",87
"Avid Bioservices, Inc.","Intern
4 Salaries submitted",84
"Avid Bioservices, Inc.","Sr. Research Associate
3 Salaries submitted",133
"Avid Bioservices, Inc.","MSAT Engineer
3 Salaries submitted",136
"Avid Bioservices, Inc.","Manager
3 Salaries submitted",205
"Avid Bioservices, Inc.","Director
3 Salaries submitted",341
"Avid Bioservices, Inc.","Upstream Manufacturing Associate
2 Salaries submitted",106
"Avid Bioservices, Inc.","Senior Associate
2 Salaries submitted",163
"Avid Bioservices, Inc.","Project Manager
2 Salaries submitted",158
"Avid Bioservices, Inc.","Senior Manager
2 Salaries submitted",242
"Avid Bioservices, Inc.","Lead Engineer
2 Salaries submitted",180
"Avid Bioservices, Inc.","Senior Manufacturing Associate
2 Salaries submitted",120
"Avid Bioservices, Inc.","Senior Desktop Support Analyst
2 Salaries submitted",113
"Avid Bioservices, Inc.","Sample Coordinator
2 Salaries submitted",65
"Avid Bioservices, Inc.","Senior Research Associate
2 Salaries submitted",119
"Avid Bioservices, Inc.","Manufacturing Associate, Downstream
2 Salaries submitted",91
"Avid Bioservices, Inc.","Manufacturing Technician
1 Salaries submitted",61
"Avid Bioservices, Inc.","Associate Analyst
1 Salaries submitted",100
"CareDx, Inc.","Clinical Laboratory Scientist
9 Salaries submitted",99
"CareDx, Inc.","Director
9 Salaries submitted",267
"CareDx, Inc.","Data Scientist
8 Salaries submitted",169
"CareDx, Inc.","Medical Science Liaison (MSL)
8 Salaries submitted",257
"CareDx, Inc.","Patient Care Manager
7 Salaries submitted",106
"CareDx, Inc.","Clinical Laboratory Assistant
6 Salaries submitted",66
"CareDx, Inc.","Reimbursement Specialist
6 Salaries submitted",56
"CareDx, Inc.","Transplant Account Manager
5 Salaries submitted",126
"CareDx, Inc.","Research Associate
5 Salaries submitted",91
"CareDx, Inc.","Manager
5 Salaries submitted",176
"CareDx, Inc.","CLS I
5 Salaries submitted",135
"CareDx, Inc.","Associate Director
5 Salaries submitted",246
"CareDx, Inc.","Project Manager
4 Salaries submitted",153
"CareDx, Inc.","Senior Software Engineer
4 Salaries submitted",176
"CareDx, Inc.","Software Engineer
4 Salaries submitted",160
"CareDx, Inc.","Engineer
3 Salaries submitted",137
"CareDx, Inc.","Clinical Lab Assistant
3 Salaries submitted",53
"CareDx, Inc.","Sr. Director
3 Salaries submitted",317
"CareDx, Inc.","Senior Software Developer
3 Salaries submitted",177
"CareDx, Inc.","Bioinformatician
2 Salaries submitted",148
"Cidara Therapeutics, Inc.","Senior Research Associate
2 Salaries submitted",122
"Cidara Therapeutics, Inc.","Senior Scientist II
1 Salaries submitted",168
"Cidara Therapeutics, Inc.","Research Associate
1 Salaries submitted",87
Celcuity Inc.,"Lab Technologist I
1 Salaries submitted",73
Celcuity Inc.,"Principal Scientist
1 Salaries submitted",217
ContraFect Corporation,"Associate Director
3 Salaries submitted",217
ContraFect Corporation,"Senior Research Associate
2 Salaries submitted",120
ContraFect Corporation,"Director
1 Salaries submitted",261
ContraFect Corporation,"Executive Director, Alliance Management
1 Salaries submitted",358
ContraFect Corporation,"Intern - Hourly
1 Salaries submitted",111
ContraFect Corporation,"Accounting Director
1 Salaries submitted",235
ContraFect Corporation,"Professional
1 Salaries submitted",137
"Coherus BioSciences, Inc.","Director
14 Salaries submitted",318
"Coherus BioSciences, Inc.","Senior Manager
4 Salaries submitted",236
"Coherus BioSciences, Inc.","Associate Director
3 Salaries submitted",260
"Coherus BioSciences, Inc.","Research Associate II
3 Salaries submitted",95
"Coherus BioSciences, Inc.","Oncology Account Manager
2 Salaries submitted",309
"Coherus BioSciences, Inc.","Sales Representative
2 Salaries submitted",252
"Coherus BioSciences, Inc.","Project Manager
2 Salaries submitted",149
"Coherus BioSciences, Inc.","Senior Accountant
2 Salaries submitted",136
"Coherus BioSciences, Inc.","Executive
1 Salaries submitted",363
"Coherus BioSciences, Inc.","Senior Project Manager
1 Salaries submitted",186
"Coherus BioSciences, Inc.","Executive Director
1 Salaries submitted",427
"Coherus BioSciences, Inc.","Vice President, Financial Strategy
1 Salaries submitted",399
"Coherus BioSciences, Inc.","Executive Assistant
1 Salaries submitted",111
"Coherus BioSciences, Inc.","Process Engineering Manager
1 Salaries submitted",189
"Coherus BioSciences, Inc.","Quality Control Manager
1 Salaries submitted",161
"Coherus BioSciences, Inc.","Exec director
1 Salaries submitted",468
"Coherus BioSciences, Inc.","Senior Process Engineering Manager
1 Salaries submitted",190
"Coherus BioSciences, Inc.","Senior Research Associate
1 Salaries submitted",130
"Coherus BioSciences, Inc.","VP, Program Management
1 Salaries submitted",220
"Coherus BioSciences, Inc.","Vice President
1 Salaries submitted",445
"Celldex Therapeutics, Inc.","Associate Scientist
2 Salaries submitted",102
"Celldex Therapeutics, Inc.","Scientist
2 Salaries submitted",144
"Celldex Therapeutics, Inc.","Manufacturing Supervisor
2 Salaries submitted",115
"Celldex Therapeutics, Inc.","Associate Research Scientist
2 Salaries submitted",143
"Celldex Therapeutics, Inc.","Associate Scientist I
1 Salaries submitted",83
"Celldex Therapeutics, Inc.","Senior Associate Biologist
1 Salaries submitted",106
"Celldex Therapeutics, Inc.","Quality Control Analyst
1 Salaries submitted",79
"Celldex Therapeutics, Inc.","Validation Associate
1 Salaries submitted",82
"Celldex Therapeutics, Inc.","Associate Scientist II
1 Salaries submitted",103
"Celldex Therapeutics, Inc.","Sr. Director
1 Salaries submitted",352
"Celldex Therapeutics, Inc.","Quality Assurance Specialist II
1 Salaries submitted",88
"Celldex Therapeutics, Inc.","Associate Process Development Engineer 1st Year
1 Salaries submitted",110
"Celldex Therapeutics, Inc.","Associate Director
1 Salaries submitted",227
"Celldex Therapeutics, Inc.","Manager
1 Salaries submitted",167
"Celldex Therapeutics, Inc.","Manufacturing Associate I
1 Salaries submitted",65
"Celldex Therapeutics, Inc.","Associate
1 Salaries submitted",117
"Celldex Therapeutics, Inc.","Quality Control Analyst II
1 Salaries submitted",81
"Celldex Therapeutics, Inc.","Sr. Manager
1 Salaries submitted",227
"Celldex Therapeutics, Inc.","CRA
1 Salaries submitted",165
"Celldex Therapeutics, Inc.","Assistant Controller
1 Salaries submitted",198
"Cellectar Biosciences, Inc.","Director, Clinical Science Liaison
1 Salaries submitted",215
"Chimerix, Inc.","Manager
2 Salaries submitted",123
"Chimerix, Inc.","Accounting
1 Salaries submitted",78
"Chimerix, Inc.","Senior Manager
1 Salaries submitted",245
"Chimerix, Inc.","Director
1 Salaries submitted",369
"Chimerix, Inc.","Assoc. Director
1 Salaries submitted",199
"Chimerix, Inc.","Data Management Intern
1 Salaries submitted",62
Centogene N.V.,"Operations Manager
2 Salaries submitted",156
Centogene N.V.,"Technician
1 Salaries submitted",63
Centogene N.V.,"Customer Support Manager
1 Salaries submitted",152
Centogene N.V.,"Clinical Study Coordinator
1 Salaries submitted",111
Centogene N.V.,"Customer Service Representative (CSR)
1 Salaries submitted",51
Centogene N.V.,"Operations Director
1 Salaries submitted",278
Centogene N.V.,"National Sales Director
1 Salaries submitted",473
"Cogent Biosciences, Inc.","Senior Scientist
2 Salaries submitted",170
"Cogent Biosciences, Inc.","Associate Scientist
1 Salaries submitted",88
"Cogent Biosciences, Inc.","Clinical Laboratory Scientist
1 Salaries submitted",101
"Cogent Biosciences, Inc.","Senior Clinical Trial Manager
1 Salaries submitted",165
"Cogent Biosciences, Inc.","Research Associate
1 Salaries submitted",83
"Cogent Biosciences, Inc.","Director
1 Salaries submitted",302
"Cogent Biosciences, Inc.","Data Analyst
1 Salaries submitted",93
"Cogent Biosciences, Inc.","Senior Associate Scientist
1 Salaries submitted",123
"Cogent Biosciences, Inc.","Senior Vice President Operations
1 Salaries submitted",477
"Cogent Biosciences, Inc.","Scientist
1 Salaries submitted",139
"Cogent Biosciences, Inc.","Team Leader
1 Salaries submitted",129
"Cogent Biosciences, Inc.","Process Development Scientist
1 Salaries submitted",101
"Cogent Biosciences, Inc.","Clinical Trial Associate
1 Salaries submitted",86
"Cogent Biosciences, Inc.","Senior Director Clinical Supply Chain
1 Salaries submitted",239
"Cogent Biosciences, Inc.","Senior Research Associate
1 Salaries submitted",112
"Cogent Biosciences, Inc.","Intern
1 Salaries submitted",76
"Catalyst Pharmaceuticals, Inc.","Associate Director
1 Salaries submitted",274
"Catalyst Pharmaceuticals, Inc.","Executive
1 Salaries submitted",319
"Catalyst Pharmaceuticals, Inc.","Clinical Research Associate
1 Salaries submitted",109
"Catalyst Pharmaceuticals, Inc.","Sr. Clinical Research Associate
1 Salaries submitted",134
Corbus Pharmaceuticals Holdings,"Clinical Trial Associate
6 Salaries submitted",103
Corbus Pharmaceuticals Holdings,"Principal Scientist
2 Salaries submitted",234
Corbus Pharmaceuticals Holdings,"Associate Director
2 Salaries submitted",277
Corbus Pharmaceuticals Holdings,"Scientist I, Analytical Development
2 Salaries submitted",166
Corbus Pharmaceuticals Holdings,"Contract
1 Salaries submitted",99
Corbus Pharmaceuticals Holdings,"Clinical Research Associate I
1 Salaries submitted",107
Corbus Pharmaceuticals Holdings,"CRA
1 Salaries submitted",173
Corbus Pharmaceuticals Holdings,"Clinical Project Manager
1 Salaries submitted",199
Corbus Pharmaceuticals Holdings,"Senior Clinical Trial Associate
1 Salaries submitted",150
Corbus Pharmaceuticals Holdings,"Document Control Specialist
1 Salaries submitted",74
Corbus Pharmaceuticals Holdings,"Payments Administrator
1 Salaries submitted",88
Corbus Pharmaceuticals Holdings,"Sr CRA/R N
1 Salaries submitted",186
Corbus Pharmaceuticals Holdings,"Senior Accountant
1 Salaries submitted",123
Corbus Pharmaceuticals Holdings,"Clinical Trial Associate II
1 Salaries submitted",105
Corbus Pharmaceuticals Holdings,"Logistics Specialist
1 Salaries submitted",94
Corbus Pharmaceuticals Holdings,"Clinical Research Associate II
1 Salaries submitted",125
Corbus Pharmaceuticals Holdings,"Clinical Safety Specialist
1 Salaries submitted",159
